Date,TSLA.US,^NDQ,GM.US,^DJI,mon_dum,tue_dum,wed_dum,thr_dum,fri_dum
2013/1/7,-0.436047145,-0.229715701,-1.646548234,-0.947510311,1,0,0,0,0
2013/1/8,-4.80489925,-0.564732914,-2.431970553,-1.035542416,0,1,0,0,0
2013/1/9,-0.296170273,1.13202299,5.07655206,1.156513878,0,0,1,0,0
2013/1/10,-0.818221138,1.283884075,3.929239003,1.506850747,0,0,0,1,0
2013/1/11,-4.622360009,0.310722157,-0.64794217,0.319384584,0,0,0,0,1
2013/1/14,2.658386509,-0.651066662,-0.266485727,0.350114876,1,0,0,0,0
2013/1/15,4.810966342,-0.538893344,2.26058188,0.510278871,0,1,0,0,0
2013/1/16,1.474557522,0.543272105,-10.54863521,-0.437018698,0,0,1,0,0
2013/1/17,2.053155503,1.480333853,1.523132998,1.568880109,0,0,0,1,0
2013/1/18,1.017670157,-0.10283801,-1.7871624,0.987053564,0,0,0,0,1
2013/1/22,4.852628697,0.675501083,-5.513286043,1.144896957,0,1,0,0,0
2013/1/23,5.754475703,0.834346108,-0.565123056,1.223726883,0,0,1,0,0
2013/1/24,6.875,-1.846261657,1.857302737,0.834583394,0,0,0,1,0
2013/1/25,-0.067923763,1.543742293,2.506310936,1.277546359,0,0,0,0,1
2013/1/28,7.098441182,0.364319255,-2.047741895,-0.252770945,1,0,0,0,0
2013/1/29,-0.525572608,-0.050724408,-3.309982013,1.305474095,0,1,0,0,0
2013/1/30,-2.833003953,-0.899748229,-4.479377958,-0.788280702,0,0,1,0,0
2013/1/31,-0.065964907,-0.014320675,1.365306787,-0.895731401,0,0,0,1,0
2013/2/1,5.26458909,2.941476005,0.680102154,2.691265445,0,0,0,0,1
2013/2/4,-3.655030881,-3.769148501,-1.859439308,-2.314631411,1,0,0,0,0
2013/2/5,2.583465819,3.226429737,5.645686129,1.787093446,0,1,0,0,0
2013/2/6,6.818450039,-0.244357702,-0.57733046,0.129119484,0,0,1,0,0
2013/2/7,1.978876664,-0.264322325,-0.476147082,-0.759123785,0,0,0,1,0
2013/2/8,-1.519756839,2.27004894,0.862808831,0.877076603,0,0,0,0,1
2013/2/11,-5.224579511,-0.146374148,-0.316185034,-0.388230662,1,0,0,0,0
2013/2/12,-3.448403759,-0.431547619,0.15715392,0.849244591,0,1,0,0,0
2013/2/13,3.694576405,0.815160255,1.042482291,-0.638254617,0,0,1,0,0
2013/2/14,-0.975293856,0.139198218,-8.021887354,-0.170207775,0,0,0,1,0
2013/2/15,-8.224553818,-0.51818574,0.105383455,0.149748916,0,0,0,0,1
2013/2/19,15.11948585,1.688580621,-0.733862057,0.96393444,0,1,0,0,0
2013/2/20,-4.710406428,-3.825939214,-5.235503759,-1.925985721,0,0,1,0,0
2013/2/21,-21.92497655,-2.600800781,-5.431420226,-0.842216213,0,0,0,1,0
2013/2/22,6.754479522,2.421371296,5.637835267,2.160386208,0,0,0,0,1
2013/2/25,-11.97696203,-3.603146289,-7.18432824,-3.864128389,1,0,0,0,0
2013/2/26,0.363219895,1.075010028,4.756028334,2.103137149,0,1,0,0,0
2013/2/27,4.865313484,2.604923873,5.31634042,3.151769084,0,0,1,0,0
2013/2/28,-1.923076923,-0.163648783,-2.290956178,-0.370860588,0,0,0,1,0
2013/3/1,-1.291989664,0.755492549,0.560084635,0.625600787,0,0,0,0,1
2013/3/4,6.70995671,0.969322405,-1.081842715,0.677092279,1,0,0,0,0
2013/3/5,7.517917369,3.307636949,4.500885066,2.228758577,0,1,0,0,0
2013/3/6,7.094825505,-0.136470924,2.991112661,0.74489065,0,0,1,0,0
2013/3/7,3.581847198,0.754103346,-0.266587816,0.58144659,0,0,0,1,0
2013/3/8,1.569446025,0.949849788,1.102451031,1.179037077,0,0,0,0,1
2013/3/11,4.094093977,0.654980782,2.726622979,0.872052438,1,0,0,0,0
2013/3/12,0.127557382,-0.810822443,0.548623162,0.047932865,0,1,0,0,0
2013/3/13,-0.894363497,0.215894791,-2.668395207,0.090311044,0,0,1,0,0
2013/3/14,-13.6608342,1.063905187,0.805682376,1.450335102,0,0,0,1,0
2013/3/15,-10.58343204,-0.75638323,0.459240661,-0.430389968,0,0,0,0,1
2013/3/18,-0.992489384,-0.883329691,-1.536441537,-1.068787545,1,0,0,0,0
2013/3/19,-0.497155757,-0.655580231,0.577120978,0.065042631,0,1,0,0,0
2013/3/20,6.200105188,1.942491716,9.783835282,0.966911597,0,0,1,0,0
2013/3/21,0.417245595,-2.426871203,-4.873467862,-1.554604448,0,0,0,1,0
2013/3/22,4.23423461,1.737727301,-3.604077964,1.56953269,0,0,0,0,1
2013/3/25,6.212802038,-0.747303544,-0.538847695,-1.107357137,1,0,0,0,0
2013/3/26,2.198241407,1.327543041,-0.08077097,1.936287657,0,1,0,0,0
2013/3/27,1.980982567,0.310532271,-0.82643865,-0.575048164,0,0,1,0,0
2013/3/28,-1.768867925,0.84445973,-2.110007597,0.901477059,0,0,0,1,0
2013/3/29,0,0,0,0,0,0,0,0,1
2013/4/1,39.85253365,-2.169076241,-0.185700804,-0.097574929,1,0,0,0,0
2013/4/2,2.332970256,1.210958363,1.151265808,1.529556676,0,1,0,0,0
2013/4/3,-18.26792963,-2.785066024,-1.145988459,-1.903899943,0,0,1,0,0
2013/4/4,5.535583942,0.495557075,-0.535309381,0.958052555,0,0,0,1,0
2013/4/5,-3.808910011,-1.637219456,-1.971307693,-0.699364855,0,0,0,0,1
2013/4/8,2.780094271,1.434987796,0.635171,0.827826505,1,0,0,0,0
2013/4/9,-7.949129872,1.211110249,-0.562903925,1.026107402,0,1,0,0,0
2013/4/10,8.39537037,4.585590483,7.650580226,2.19409737,0,0,1,0,0
