Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/10/22,-0.521 ,-1.212 ,-0.638 ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015/10/23,1.263 ,4.019 ,2.112 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/26,0.507 ,0.590 ,0.647 ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/27,-0.504 ,-1.150 ,-0.898 ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/28,0.372 ,0.273 ,0.671 ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015/10/29,-1.231 ,-1.853 ,0.173 ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015/10/30,0.160 ,1.711 ,0.778 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015/11/2,-1.097 ,-2.275 ,-2.095 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/4,0.933 ,1.923 ,1.304 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/5,0.522 ,-1.787 ,1.001 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015/11/6,0.094 ,0.809 ,0.780 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/9,1.640 ,1.881 ,1.958 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/10,0.052 ,-0.444 ,0.145 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/11,-0.405 ,-0.419 ,0.102 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/12,-0.133 ,-0.101 ,0.032 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015/11/13,-0.831 ,-0.620 ,-0.512 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/16,-1.515 ,-1.175 ,-1.037 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/17,1.810 ,0.684 ,1.222 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/18,0.715 ,0.628 ,0.094 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/19,0.275 ,1.698 ,1.072 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015/11/20,-0.485 ,-0.884 ,0.101 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/24,0.699 ,0.347 ,0.227 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/25,-0.472 ,-1.038 ,-0.388 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/26,1.144 ,1.447 ,0.488 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2015/11/27,-0.221 ,-1.303 ,-0.303 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/11/30,-0.168 ,-0.275 ,-0.686 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015/12/1,1.370 ,2.549 ,1.342 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/2,0.747 ,-0.343 ,-0.371 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/3,0.091 ,-0.023 ,0.009 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
